LAMMPS data generated from YCOR400.gro

31200 atoms
6 atom types

0.000000 75.29860000 xlo xhi
0.000000 75.29860000 ylo yhi
0.000000 75.29860000 zlo zhi

Masses

1 12.0110000000 # C
2 18.9984031630 # F
3 1.0080000000 # H
4 14.0070000000 # N
5 15.9990000000 # O
6 32.0600000000 # S

Atoms # atomic

1 2 73.85000000 2.77000000 60.18000000
2 1 73.51000000 2.36000000 61.49000000
3 1 73.20000000 1.04000000 61.63000000
4 3 73.32000000 0.35000000 60.81000000
5 1 72.85000000 0.50000000 62.87000000
6 1 72.64000000 74.42000000 63.39000000
7 1 73.03000000 73.34000000 62.72000000
8 1 72.57000000 72.89000000 61.33000000
9 4 72.63000000 72.50000000 60.23000000
10 1 74.24000000 72.56000000 63.05000000
11 4 75.20000000 71.97000000 63.42000000
12 1 72.39000000 74.39000000 64.87000000
13 1 72.56000000 0.50000000 65.36000000
14 5 72.92000000 0.89000000 66.46000000
15 1 72.76000000 1.30000000 64.02000000
16 1 73.01000000 2.70000000 63.84000000
17 3 72.70000000 3.23000000 64.74000000
18 1 73.33000000 3.22000000 62.61000000
19 2 73.27000000 4.53000000 62.34000000
20 1 71.63000000 73.44000000 65.41000000
21 3 71.12000000 72.70000000 64.80000000
22 1 71.15000000 73.17000000 66.80000000
23 1 71.19000000 71.95000000 67.40000000
24 1 71.50000000 70.65000000 66.68000000
25 3 72.56000000 70.45000000 66.88000000
26 3 70.86000000 69.85000000 67.04000000
27 3 71.51000000 70.66000000 65.59000000
28 1 70.66000000 71.95000000 68.72000000
29 1 70.31000000 73.18000000 69.12000000
30 6 70.48000000 74.46000000 67.90000000
31 1 69.89000000 73.15000000 70.60000000
32 4 69.51000000 74.03000000 71.62000000
33 1 68.97000000 0.05000000 71.41000000
34 3 68.86000000 0.20000000 70.34000000
35 3 67.99000000 0.12000000 71.88000000
36 3 69.65000000 0.85000000 71.69000000
37 1 69.45000000 73.28000000 72.82000000
38 1 69.29000000 73.74000000 74.25000000
39 1 69.43000000 72.77000000 75.25000000
40 1 69.08000000 73.47000000 1.15000000
41 1 68.81000000 74.75000000 0.84000000
42 4 68.83000000 74.93000000 74.78000000
43 1 69.14000000 0.88000000 74.19000000
44 3 69.31000000 1.67000000 74.93000000
45 3 70.09000000 0.71000000 73.67000000
46 3 68.36000000 1.22000000 73.51000000
47 1 68.48000000 0.27000000 2.00000000
48 1 68.46000000 74.96000000 3.21000000
49 6 68.85000000 73.14000000 2.93000000
50 1 68.08000000 0.40000000 4.37000000
51 1 67.89000000 1.66000000 4.00000000
52 6 68.19000000 2.05000000 2.22000000
53 3 67.64000000 2.49000000 4.67000000
54 1 68.12000000 0.01000000 5.87000000
55 3 68.55000000 74.31000000 5.92000000
56 3 68.83000000 0.67000000 6.38000000
57 3 67.13000000 0.12000000 6.31000000
58 1 69.74000000 71.33000000 75.04000000
59 1 69.82000000 70.85000000 73.72000000
60 1 69.68000000 71.97000000 72.50000000
61 1 69.97000000 71.86000000 71.14000000
62 6 70.45000000 70.61000000 69.99000000
63 4 70.06000000 69.52000000 73.42000000
64 1 70.20000000 68.80000000 74.53000000
65 1 70.22000000 69.28000000 0.55000000
66 4 69.98000000 70.52000000 0.84000000
67 1 70.34000000 68.22000000 1.54000000
68 1 70.49000000 67.02000000 0.89000000
69 1 70.36000000 67.26000000 74.62000000
70 5 70.28000000 66.31000000 73.79000000
71 1 70.63000000 65.90000000 1.66000000
72 3 70.53000000 64.91000000 1.22000000
73 1 70.75000000 65.90000000 3.00000000
74 3 70.85000000 64.99000000 3.61000000
75 1 70.65000000 67.08000000 3.66000000
76 3 70.61000000 67.12000000 4.74000000
77 1 70.41000000 68.22000000 2.90000000
78 3 70.14000000 69.14000000 3.41000000
79 2 6.84000000 29.17000000 41.52000000
80 1 6.06000000 28.55000000 42.44000000
81 1 6.51000000 28.51000000 43.80000000
82 3 7.53000000 28.82000000 43.98000000
83 1 5.58000000 28.17000000 44.83000000
84 1 5.68000000 28.29000000 46.29000000
85 1 6.83000000 28.64000000 46.91000000
86 1 7.66000000 29.86000000 46.61000000
87 4 8.43000000 30.54000000 46.16000000
88 1 7.40000000 28.04000000 48.19000000
89 4 7.89000000 27.52000000 49.11000000
90 1 4.32000000 27.73000000 46.92000000
91 1 3.45000000 27.40000000 45.69000000
92 5 2.33000000 26.92000000 45.75000000
93 1 4.28000000 27.78000000 44.44000000
94 1 3.90000000 27.65000000 43.07000000
95 3 2.92000000 27.21000000 42.84000000
96 1 4.76000000 28.10000000 42.12000000
97 2 4.32000000 28.08000000 40.87000000
98 1 4.06000000 27.67000000 48.24000000
99 3 4.86000000 28.03000000 48.88000000
100 1 2.94000000 27.18000000 49.11000000
101 1 3.19000000 26.47000000 50.20000000
102 1 4.38000000 25.46000000 50.49000000
103 3 5.40000000 25.80000000 50.34000000
104 3 4.15000000 25.09000000 51.49000000
105 3 4.17000000 24.63000000 49.81000000
106 1 2.12000000 26.52000000 51.18000000
107 1 1.04000000 27.29000000 50.77000000
108 6 1.21000000 27.88000000 49.12000000
109 1 0.01000000 27.39000000 51.76000000
110 4 74.01000000 27.99000000 51.90000000
111 1 73.52000000 29.06000000 50.93000000
112 3 73.13000000 29.89000000 51.51000000
113 3 74.35000000 29.47000000 50.34000000
114 3 72.77000000 28.61000000 50.28000000
115 1 73.59000000 27.68000000 53.23000000
116 1 72.26000000 28.20000000 54.15000000
117 1 72.07000000 27.67000000 55.40000000
118 1 70.92000000 28.26000000 55.98000000
119 1 70.45000000 29.17000000 55.10000000
120 4 71.16000000 29.12000000 53.86000000
121 1 70.51000000 29.48000000 52.54000000
122 3 70.31000000 30.55000000 52.50000000
123 3 71.03000000 29.11000000 51.66000000
124 3 69.54000000 28.99000000 52.64000000
125 1 69.23000000 29.86000000 55.65000000
126 1 68.99000000 29.49000000 56.88000000
127 6 70.02000000 28.19000000 57.55000000
128 1 67.67000000 30.00000000 57.31000000
129 1 67.11000000 30.81000000 56.42000000
130 6 68.03000000 30.99000000 55.01000000
131 3 66.16000000 31.33000000 56.47000000
132 1 67.00000000 29.73000000 58.71000000
133 3 66.50000000 30.57000000 59.18000000
134 3 66.21000000 29.00000000 58.57000000
135 3 67.76000000 29.41000000 59.43000000
136 1 73.27000000 26.61000000 56.03000000
137 1 74.41000000 26.21000000 55.34000000
138 1 74.54000000 26.85000000 53.81000000
139 1 0.30000000 26.68000000 52.86000000
140 6 1.92000000 25.84000000 52.77000000
141 4 0.12000000 25.44000000 55.90000000
142 1 75.28000000 25.06000000 57.12000000
143 1 74.11000000 25.45000000 57.84000000
144 4 73.12000000 26.24000000 57.33000000
145 1 74.15000000 25.01000000 59.28000000
146 1 0.12000000 24.37000000 59.45000000
147 1 0.87000000 24.31000000 58.10000000
148 5 1.85000000 23.58000000 57.90000000
149 1 0.59000000 24.16000000 60.75000000
150 3 1.55000000 23.67000000 60.90000000
151 1 75.10000000 24.57000000 61.83000000
152 3 0.18000000 24.62000000 62.86000000
153 1 73.83000000 25.12000000 61.62000000
154 3 73.15000000 25.35000000 62.44000000
155 1 73.39000000 25.31000000 60.34000000
156 3 72.32000000 25.45000000 60.16000000
157 2 59.88000000 8.02000000 7.55000000
158 1 59.92000000 8.60000000 6.33000000
159 1 60.57000000 7.91000000 5.35000000
160 3 61.44000000 7.34000000 5.65000000
161 1 60.42000000 8.28000000 4.00000000
162 1 61.08000000 7.79000000 2.73000000
163 1 61.92000000 6.76000000 2.72000000
164 1 63.38000000 6.60000000 2.50000000
165 4 64.50000000 6.94000000 2.66000000
166 1 61.40000000 5.43000000 3.01000000
167 4 60.92000000 4.37000000 3.16000000
168 1 60.58000000 8.56000000 1.56000000
169 1 59.66000000 9.67000000 2.17000000
170 5 59.06000000 10.49000000 1.54000000
171 1 59.70000000 9.40000000 3.67000000
172 1 59.12000000 10.19000000 4.71000000
173 3 58.67000000 11.13000000 4.40000000
174 1 59.30000000 9.77000000 6.01000000
175 2 58.92000000 10.57000000 7.01000000
176 1 61.32000000 8.72000000 0.44000000
177 3 62.40000000 8.62000000 0.51000000
178 1 60.99000000 9.02000000 74.37000000
179 1 60.40000000 8.01000000 73.61000000
180 1 60.42000000 6.53000000 73.87000000
181 3 60.56000000 6.23000000 74.91000000
182 3 59.51000000 6.04000000 73.52000000
183 3 61.22000000 6.07000000 73.28000000
184 1 59.78000000 8.55000000 72.41000000
185 1 59.87000000 9.84000000 72.28000000
186 6 60.84000000 10.60000000 73.51000000
187 1 59.16000000 10.39000000 70.98000000
188 4 59.23000000 11.57000000 70.24000000
189 1 60.21000000 12.62000000 70.55000000
190 3 60.31000000 13.25000000 69.66000000
191 3 59.75000000 13.13000000 71.39000000
192 3 61.19000000 12.33000000 70.92000000
193 1 58.53000000 11.25000000 68.94000000
194 1 58.30000000 12.09000000 67.45000000
195 1 57.46000000 11.48000000 66.50000000
196 1 57.48000000 12.31000000 65.32000000
197 1 58.36000000 13.35000000 65.57000000
198 4 58.88000000 13.30000000 66.89000000
199 1 59.53000000 14.46000000 67.56000000
200 3 60.54000000 14.07000000 67.67000000
201 3 59.50000000 15.35000000 66.94000000
202 3 59.00000000 14.60000000 68.51000000
203 1 58.50000000 14.13000000 64.38000000
204 1 57.65000000 13.74000000 63.38000000
205 6 56.75000000 12.35000000 63.70000000
206 1 57.71000000 14.48000000 62.15000000
207 1 58.62000000 15.48000000 62.33000000
208 6 59.38000000 15.56000000 63.95000000
209 3 58.99000000 16.09000000 61.51000000
210 1 56.73000000 14.45000000 61.10000000
211 3 56.99000000 15.07000000 60.25000000
212 3 56.82000000 13.42000000 60.76000000
213 3 55.78000000 14.82000000 61.50000000
214 1 56.75000000 10.08000000 66.85000000
215 1 56.93000000 9.44000000 68.17000000
216 1 57.99000000 9.99000000 69.10000000
217 1 58.45000000 9.44000000 70.37000000
218 6 58.59000000 7.89000000 71.12000000
219 4 56.26000000 8.22000000 68.57000000
